礙	碍
壩	垻
辦	办
幫	帮
寶	宝
報	报
幣	币
斃	毙
錶	表
纔	才
蠶	蚕
攙	搀
讒	谗
饞	馋
纏	缠
塵	尘
襯	衬
稱	爯
遲	迟
齣	出
礎	础
處	処
辭	辞
聰	聦
叢	樷
擔	担
膽	胆
導	导
糴	籴
遞	递
點	点
澱	淀
電	电
噸	吨
奪	夺
墮	陊
爾	尔
兒	儿
礬	矾
範	笵
奮	奋
糞	粪
膚	肤
復	复
複	复
蓋	盖
趕	赶
個	个
鞏	巩
溝	沟
構	构
購	购
顧	顾
關	关
櫃	樻
號	号
鬍	胡
滬	沪
護	护
劃	划
迴	回
夥	伙
擊	击
鷄	鸡
極	极
繼	继
繭	茧
艦	舰
漿	浆
槳	桨
奬	奖
醬	酱
膠	胶
癤	疖
潔	洁
藉	借
驚	惊
舊	旧
劇	剧
據	据
懼	惧
捲	卷
開	开
剋	克
墾	垦
懇	恳
誇	夸
塊	块
虧	亏
臘	腊
蠟	蜡
纍	累
壘	垒
類	类
裏	裡
禮	礼
隷	隶
簾	帘
聯	联
糧	粮
療	疗
遼	辽
瞭	了
獵	猎
臨	临
嶺	岭
亂	乱
麼	么
黴	霉
夢	梦
麵	麺
廟	庿
滅	灭
衊	蔑
畝	亩
惱	恼
腦	脑
擬	拟
釀	酿
瘧	疟
憑	凭
啓	启
簽	签
韆	千
牽	牵
竅	窍
竊	窃
寢	寑
慶	庆
瓊	琼
鞦	秋
確	确
擾	扰
熱	热
認	訒
傘	伞
喪	丧
澀	涩
瀋	渖
聲	声
溼	湿
勢	势
獸	兽
術	术
樹	树
帥	帅
囌	蘇
雖	虽
臺	台
檯	枱
態	态
體	体
糶	粜
鐵	鉄
廳	厅
塗	涂
團	团
糰	团
窪	洼
襪	袜
網	网
穩	穏
霧	霚
繫	係
戲	戯
顯	显
縣	县
響	响
嚮	向
協	劦
脅	脇
褻	亵
釁	衅
興	兴
鬚	須
懸	悬
鏇	旋
壓	圧
鹽	塩
養	养
癢	痒
鑰	鈅
藥	薬
爺	爷
醫	医
應	応
癰	痈
擁	拥
傭	佣
踴	踊
憂	忧
優	优
籲	吁
鬱	㭗
譽	誉
淵	渊
願	愿
躍	跃
雜	杂
鑿	凿
棗	枣
竈	灶
齋	斋
氈	毡
戰	战
摺	折
癥	症
證	証
隻	只
