處	処
鬱	㭗
叢	樷
聰	聦
專	専
嘗	甞
裏	裡
樂	楽
藥	薬
體	躰
穩	穏
隱	隠
霧	霚
脅	脇
壓	圧
鹽	塩
應	応
亞	亜
莊	荘
繁	䋣

闆	闆
錶	錶
蔔	蔔
骯	骯
髒	髒
醜	醜
復	復
複	複
幹	幹
乾	乾
榖	榖
後	後
彙	彙
匯	匯
迴	迴
薑	薑
捲	捲
剋	剋
睏	睏
麵	麵
麯	麯
颱	颱
葉	葉
甦	甦

東	東
凍	凍
棟	棟
車	車
連	連
蓮	蓮
軍	軍
運	運
庫	庫
長	長
揀	揀
練	練
煉	煉
轉	轉
傳	傳

產	産
廠	廠
廣	広
擴	拡
礦	砿
飛	飛
嚴	嚴

沖	沖
況	況
涼	涼

進	進
賓	賓
濱	濱
臏	臏
繽	繽
憐	憐
鄰	鄰
區	區
鄧	鄧
燈	燈
風	風
瘋	瘋
趙	趙
漢	漢
嘆	嘆
鳳	鳳
療	療
遼	遼
權	権
勸	勧
觀	観
歡	歓
補	補
過	過
襖	襖
壩	壩
敵	敵
標	標
觸	觸
獨	獨
燭	燭
層	層
濁	濁
墮	墮
橢	橢
當	當
檔	檔
擋	擋
動	動
隊	隊
墳	墳
際	際
僅	僅
塊	塊
陸	陸
盧	盧
盤	盤
傷	傷
勝	勝
遠	遠
轟	轟
聶	聶
競	競
筆	筆
書	書
畢	畢
華	華
龍	龍
聖	聖
無	無
習	習
蝦	蝦
協	協
義	義
陰	陰
陽	陽
蘇	蘇
